0,No_action,No_new_comparative_trial,Prediction_Current_same_rule,Prediction_Voltage_Drop_same_rule,Confidence_Current_verify_prediction,Confidence_Voltage_Drop_verify_prediction,Rule_Current_Confirming_Redundancy,Rule_Voltage_Drop_Confirming_Redundancy,Post_test_Current_non_normative,Post_test_Voltage_Drop_non_normative,New_comparative_trial,Prediction_Current_Fill_up_gaps,Prediction_Voltage_Drop_Fill_up_gaps,Confidence_Current_falsify_prediction,Confidence_Voltage_Drop_falsify_prediction,Identify_problem_goal_stated,Rule_Current_Simultaneous_scanning,Rule_Voltage_Drop_Simultaneous_scanning,Rule_Current_Successive_scanning,Rule_Voltage_Drop_Successive_scanning,Rule_Current_Focus_gambling,Rule_Voltage_Drop_Focus_gambling,Rule_Current_Conservative_Focusing,Rule_Voltage_Drop_Conservative_Focusing,Post_test_Current_partial,Post_test_Voltage_Drop_partial,Post_test_Current_1_Valid_link,Post_test_Voltage_Drop_1_Valid_link,Post_test_Current_2_Valid_links,Post_test_Voltage_Drop_2_Valid_links
No_action,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_new_comparative_trial,0.35*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction_Current_same_rule,0.04,-0.12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction_Voltage_Drop_same_rule,-0.11,-0.19,0.64*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence_Current_verify_prediction,-0.29*,-0.30*,0.78*,0.69*,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence_Voltage_Drop_verify_prediction,-0.36*,-0.34*,0.62*,0.82*,0.71*,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule_Current_Confirming_Redundancy,0.42*,0.44*,0.42*,0.42*,0.30*,0.23,1.0,,,,,,,,,,,,,,,,,,,,,,,
Rule_Voltage_Drop_Confirming_Redundancy,0.26*,0.53*,0.25,0.22,0.10,0.13,0.75*,1.0,,,,,,,,,,,,,,,,,,,,,,
Post_test_Current_non_normative,0.36*,0.80*,0.05,-0.19,-0.16,-0.30*,0.47*,0.54*,1.0,,,,,,,,,,,,,,,,,,,,,
Post_test_Voltage_Drop_non_normative,0.35*,0.82*,-0.23,-0.26*,-0.41*,-0.40*,0.32*,0.46*,0.63*,1.0,,,,,,,,,,,,,,,,,,,,
