0,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr,corr
No_action,1.00*,0.35*,0.04,-0.11,-0.29*,-0.36*,0.42*,0.26*,0.36*,0.35*,-0.35*,-0.50*,-0.51*,-0.31*,-0.37*,-0.81*,-0.22,-0.31*,-0.18,-0.16,-0.13,-0.31*,-0.60*,-0.65*,0.21,0.23,0.04,-0.11,-0.68*,-0.53*
No_new_comparative_trial,0.35*,1.00*,-0.12,-0.19,-0.30*,-0.34*,0.44*,0.53*,0.80*,0.82*,-1.00*,-0.60*,-0.51*,-0.55*,-0.47*,-0.32*,-0.48*,-0.55*,-0.60*,-0.47*,-0.24,-0.32*,-0.25,-0.22,-0.37*,-0.35*,-0.22,-0.18,-0.28*,-0.30*
Prediction_Current_same_rule,0.04,-0.12,1.00*,0.64*,0.78*,0.62*,0.42*,0.25,0.05,-0.23,0.12,-0.36*,0.06,-0.23,-0.03,-0.10,0.55*,0.21,0.12,0.46*,-0.12,-0.21,-0.28*,-0.11,-0.13,0.26*,0.28*,-0.06,-0.15,-0.03
Prediction_Voltage_Drop_same_rule,-0.11,-0.19,0.64*,1.00*,0.69*,0.82*,0.42*,0.22,-0.19,-0.26*,0.19,0.12,-0.17,0.10,-0.19,0.10,0.38*,0.60*,0.35*,0.37*,-0.08,-0.36*,-0.01,-0.03,-0.00,0.31*,0.11,0.01,0.12,-0.09
Confidence_Current_verify_prediction,-0.29*,-0.30*,0.78*,0.69*,1.00*,0.71*,0.30*,0.10,-0.16,-0.41*,0.30*,0.03,0.30*,-0.14,0.19,0.23,0.62*,0.42*,0.24,0.47*,0.01,-0.13,-0.00,0.30*,-0.14,0.16,0.26*,-0.08,0.11,0.29*
Confidence_Voltage_Drop_verify_prediction,-0.36*,-0.34*,0.62*,0.82*,0.71*,1.00*,0.23,0.13,-0.30*,-0.40*,0.34*,0.22,0.14,0.19,-0.13,0.27*,0.47*,0.53*,0.41*,0.51*,0.04,-0.16,0.12,0.13,-0.07,0.24,0.22,0.00,0.22,0.13
Rule_Current_Confirming_Redundancy,0.42*,0.44*,0.42*,0.42*,0.30*,0.23,1.00*,0.75*,0.47*,0.32*,-0.44*,-0.38*,-0.43*,-0.34*,-0.40*,-0.36*,-0.18,-0.12,-0.29*,-0.20,-0.07,-0.40*,-0.31*,-0.29*,-0.31*,0.10,0.21,-0.09,-0.35*,-0.37*
Rule_Voltage_Drop_Confirming_Redundancy,0.26*,0.53*,0.25,0.22,0.10,0.13,0.75*,1.00*,0.54*,0.46*,-0.53*,-0.34*,-0.52*,-0.35*,-0.52*,-0.27*,-0.33*,-0.25,-0.43*,-0.36*,-0.06,-0.38*,-0.18,-0.26*,-0.29*,-0.03,-0.06,-0.21,-0.22,-0.28*
Post_test_Current_non_normative,0.36*,0.80*,0.05,-0.19,-0.16,-0.30*,0.47*,0.54*,1.00*,0.63*,-0.80*,-0.70*,-0.51*,-0.69*,-0.42*,-0.31*,-0.28*,-0.69*,-0.74*,-0.29*,-0.29*,-0.31*,-0.31*,-0.17,-0.46*,-0.24,-0.28*,-0.10,-0.34*,-0.29*
Post_test_Voltage_Drop_non_normative,0.35*,0.82*,-0.23,-0.26*,-0.41*,-0.40*,0.32*,0.46*,0.63*,1.00*,-0.82*,-0.55*,-0.51*,-0.48*,-0.46*,-0.35*,-0.53*,-0.48*,-0.50*,-0.52*,-0.15,-0.26*,-0.27*,-0.24,-0.16,-0.47*,-0.24,-0.19,-0.30*,-0.33*
