No action,No new comparative trial,Prediction Current: same rule,Confidence Current: verify prediction,Rule Current: Confirming Redundancy,Post-test: Current non-normative,New comparative trial,Prediction Current: Fill up gaps,Confidence Current: falsify prediction,Identify problem: goal stated,Rule Current: Simultaneous scanning,Rule Current: Successive scanning,Rule Current: Focus gambling,Rule Current: Conservative Focusing,Post-test: Current partial,Post-test: Current 1 Valid link,Post-test: Current 2 Valid links
1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1
2,0,2,2,2,0,1,2,2,1,0,0,1,1,0,0,1
1,0,1,2,1,0,1,1,0,0,0,1,0,0,1,0,0
7,0,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,1,3,1,1,0,0,1,2,0,0,1
0,0,0,2,0,0,1,4,2,1,2,1,0,1,0,0,1
1,0,1,2,1,0,1,1,0,0,0,1,0,0,1,0,0
0,0,1,2,0,0,1,3,2,1,2,1,1,0,0,0,1
1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
0,0,1,1,0,0,1,2,2,1,0,1,0,2,0,0,1
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
0,0,3,3,0,0,1,1,1,1,2,2,0,0,0,0,1
1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0
0,0,2,4,0,0,1,2,0,1,2,1,0,1,0,0,1
0,0,0,0,0,0,1,2,2,1,0,1,0,1,0,0,1
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
0,0,1,1,0,0,1,1,1,1,0,0,0,2,0,0,1
1,0,2,2,0,0,1,0,0,0,1,1,0,0,1,0,0
1,0,4,4,2,0,1,1,1,0,1,1,1,0,0,1,0
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
0,0,1,1,0,0,1,2,2,1,1,1,0,1,0,0,1
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
0,0,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1
1,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0
0,0,1,2,0,0,1,1,0,1,0,1,0,1,0,1,0
1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0
1,0,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0
0,0,3,3,0,0,1,0,0,1,3,0,0,0,0,0,1
1,0,5,5,0,0,1,0,0,0,4,1,0,0,1,0,0
1,0,4,4,1,0,1,0,0,0,2,1,0,0,0,1,0
1,0,4,4,2,0,1,1,1,0,2,1,0,0,0,1,0
1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
1,0,2,2,1,0,1,1,1,0,1,1,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
0,0,3,3,0,1,1,0,0,1,3,0,0,0,0,0,0
0,0,1,3,1,0,1,2,1,1,2,1,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
1,0,2,2,1,0,1,1,1,0,1,1,0,0,1,0,0
1,0,0,1,0,0,1,2,1,0,1,1,0,0,1,0,0
1,0,4,3,1,0,1,0,1,0,2,1,0,0,0,1,0
1,0,3,3,1,0,1,1,1,0,1,1,1,0,0,1,0
