,TEB1,TEB2,TDB,TBVE,TBVD,TRID,TRI2,TRE2D,TRE2S,TRE1,TRE2DP,TAE,TADBA,TAEHL,TADHL,TVE,TVEHL2,TVDHL2,TVDHL2B,N
Observation 1,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1
Observation 2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Observation 3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Observation 4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Observation 5,0,2,0,2,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0
Observation 6,2,2,0,3,1,1,0,1,1,1,0,2,2,0,0,2,0,0,0,2
Observation 7,1,1,0,2,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0
Observation 8,3,1,0,3,1,2,0,1,0,1,0,2,2,0,0,3,0,1,1,0
Observation 9,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Observation 10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Observation 11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Observation 12,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Observation 13,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Observation 14,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Observation 15,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Observation 16,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Observation 17,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Observation 18,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Observation 19,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Observation 20,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Observation 21,0,3,0,3,0,0,0,3,0,0,0,1,0,0,2,1,0,2,1,0
Observation 22,1,3,0,4,0,0,0,3,0,1,0,2,1,0,1,2,0,2,1,0
Observation 23,1,0,1,2,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0
Observation 24,2,2,0,3,1,0,1,0,1,2,0,2,1,0,1,3,0,1,0,0
Observation 25,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Observation 26,2,1,0,3,0,1,0,1,0,1,0,0,2,0,1,3,0,0,0,0
Observation 27,1,0,1,2,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0
Observation 28,0,1,3,4,0,2,0,2,0,0,0,2,1,0,1,4,0,0,0,0
Observation 29,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0
Observation 30,0,1,1,2,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0
Observation 31,0,3,1,4,0,1,0,2,1,0,0,2,1,0,1,3,0,1,0,0
Observation 32,1,1,0,2,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0
Observation 33,1,0,1,2,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0
Observation 34,1,1,0,2,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0
Observation 35,1,1,0,2,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
Observation 36,2,2,1,5,0,1,3,0,0,1,0,2,3,0,0,5,0,0,0,0
Observation 37,1,1,0,2,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
Observation 38,1,2,0,3,0,1,1,1,0,0,0,1,1,0,1,3,1,0,0,0
Observation 39,1,1,0,2,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0
Observation 40,0,2,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,2,1,0
Observation 41,0,1,1,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Observation 42,0,2,0,2,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0
Observation 43,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0
Observation 44,1,1,0,1,1,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0
Observation 45,1,2,0,2,1,0,1,1,0,1,0,2,1,0,0,2,0,1,0,0
Observation 46,3,2,0,4,1,0,0,1,1,3,1,4,1,0,0,4,1,1,0,0
Observation 47,4,0,0,3,1,3,0,0,0,1,0,1,3,0,0,4,0,0,0,0
Observation 48,3,0,2,3,2,0,0,0,1,3,0,4,1,0,0,5,0,1,0,0
Observation 49,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Observation 50,0,0,3,1,2,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0
Observation 51,2,0,0,1,1,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0
Observation 52,2,0,0,1,1,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0
Observation 53,0,2,1,3,0,1,0,2,0,0,0,3,0,0,0,2,0,1,0,0
Observation 54,2,2,0,2,2,0,0,1,1,2,0,3,1,0,0,4,2,0,0,0
Observation 55,1,1,0,2,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
Observation 56,2,0,0,1,1,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0
Observation 57,0,2,1,3,0,1,0,1,1,0,0,2,1,0,0,2,0,1,0,0
Observation 58,1,0,1,2,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0
Observation 59,1,2,1,3,1,2,0,0,1,1,0,2,2,0,0,4,0,0,0,0
Observation 60,3,0,1,4,0,0,1,0,0,3,0,2,2,0,0,2,0,2,2,0
