,1 bulbs equal,2 bulbs equal,1 vs. 2 bulbs different,Battery voltage equal,Battery voltage differnt,Resistance change: 1 or 2 bulbs,Resistance change: 2 bulbs,Resistance equal: 2 bulbs different vlaue,Resistance equal: 2 or 1 vs. 2 bulbs same vlaue,Resistance equal: 1 bulb,Resistance equal: 2 bulbs different value & position,Ammeter equal: after/before 1 or 2 bulb,Ammeter different: before vs. after 1 or 2 bulbs,Ammeter different: on high/low of 2 bulb,Voltmeter equal: 1 bulb or 2 bulbs or battery,Voltmeter equal: 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs,Voltmeter different: high vs. low resistance 2 bulbs vs. battery,No action
Observation1,2,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,1
Observation2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Observation3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Observation4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Observation5,0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0
Observation6,2,2,0,3,1,1,0,1,1,1,0,2,2,0,2,0,0,0,2
Observation7,1,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0
Observation8,3,1,0,3,1,2,0,1,0,1,0,2,2,0,3,0,1,1,0
Observation9,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
Observation10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Observation11,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Observation12,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Observation13,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Observation14,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Observation15,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Observation16,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Observation17,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Observation18,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
