0,Control,Experimental 1,Experimental 2
No_action,0.9999999999999998*,-0.2648102742111809,0.43286294822981497
No_new_comparative_trial,1.0*,nan,nan
Prediction_Current_same_rule,1.0*,-0.10273075462706377,0.2996234910479854
Prediction_Voltage_Drop_same_rule,1.0*,0.12726883219848628,0.3810099207335536
Confidence_Current_verify_prediction,1.0*,-0.143721196216973,0.5912419974655891*
Confidence_Voltage_Drop_verify_prediction,1.0*,0.10696053839506882,0.11819549448481363
Rule_Current_Confirming_Redundancy,1.0*,-0.09967613634945116,0.0714092898594717
Rule_Voltage_Drop_Confirming_Redundancy,1.0*,0.042339416261416164,-0.191771825514758
Post_test_Current_non_normative,0.9999999999999998*,-0.3504383220252312,0.27500954910846337
Post_test_Voltage_Drop_non_normative,1.0*,0.16834512458535864,0.16834512458535864
New_comparative_trial,1.0*,nan,nan
Prediction_Current_Fill_up_gaps,0.9999999999999998*,0.008020610576500093,-0.42818047666074466
Prediction_Voltage_Drop_Fill_up_gaps,1.0*,-0.17463585353654526,0.0869941283662305
Confidence_Current_falsify_prediction,1.0*,-0.2676653448657582,-0.09619721404877636
Confidence_Voltage_Drop_falsify_prediction,1.0*,-0.25083737755409086,0.25565499628245686
Identify_problem_goal_stated,1.0*,0.0,0.25000000000000006
Rule_Current_Simultaneous_scanning,1.0*,0.34318647974858074,0.189673445662118
Rule_Voltage_Drop_Simultaneous_scanning,1.0*,0.21453196764494614,0.2182178902359924
Rule_Current_Successive_scanning,1.0*,0.11470786693528089,0.16666666666666669
Rule_Voltage_Drop_Successive_scanning,1.0*,0.20121090914638348,0.12565203926472288
Rule_Current_Focus_gambling,1.0*,-0.25000000000000006,-0.16666666666666669
Rule_Voltage_Drop_Focus_gambling,1.0*,-0.3668996928526715,0.0
Rule_Current_Conservative_Focusing,1.0*,0.14852213144650114,-0.07647191129018725
Rule_Voltage_Drop_Conservative_Focusing,1.0*,-0.13245323570650436,0.5461186812727502*
Post_test_Current_partial,1.0*,0.2788995520575487,0.14002800840280097
Post_test_Voltage_Drop_partial,1.0*,0.3572172541558802,-0.10206207261596577
Post_test_Current_1_Valid_link,1.0*,-0.07647191129018725,-0.15018785229652765
Post_test_Voltage_Drop_1_Valid_link,1.0*,0.6666666666666667*,nan
Post_test_Current_2_Valid_links,1.0*,0.0,0.6882472016116853*
Post_test_Voltage_Drop_2_Valid_links,1.0*,-0.16834512458535864,0.3126409456585232
